iter	Passed	Remaining
0	132	132740
1	135	67438
2	137	45695
3	139	34831
4	142	28320
5	145	24118
6	148	21068
7	151	18780
8	154	17067
9	158	15691
10	161	14522
11	164	13546
12	167	12745
13	171	12052
14	174	11477
15	178	10976
16	181	10509
17	185	10100
18	188	9752
19	192	9438
20	196	9158
21	199	8879
22	209	8918
23	213	8674
24	216	8435
25	219	8213
26	222	8016
27	225	7841
28	229	7671
29	232	7510
30	235	7370
31	239	7235
32	242	7110
33	245	6982
34	249	6870
35	252	6760
36	256	6664
37	259	6566
38	262	6467
39	265	6377
40	269	6310
41	273	6240
42	276	6164
43	280	6087
44	283	6017
45	287	5955
46	290	5896
47	293	5829
48	297	5771
49	300	5712
50	304	5658
51	307	5602
52	310	5542
53	313	5488
54	316	5436
55	319	5390
56	322	5342
57	326	5295
58	329	5257
59	332	5211
60	336	5177
61	339	5134
62	342	5101
63	346	5068
64	350	5037
65	353	5003
66	356	4970
67	360	4936
68	363	4898
69	366	4867
70	369	4834
71	372	4804
72	375	4773
73	379	4746
74	382	4721
75	386	4699
76	390	4675
77	393	4655
78	397	4632
79	400	4611
80	403	4583
81	407	4558
82	411	4547
83	414	4523
84	418	4500
85	421	4475
86	424	4455
87	427	4431
88	431	4413
89	435	4400
90	438	4378
91	442	4362
92	445	4343
93	448	4322
94	452	4310
95	456	4296
96	459	4275
97	463	4262
98	466	4244
99	470	4233
100	473	4218
101	477	4201
102	480	4186
103	484	4174
104	488	4163
105	492	4152
106	495	4136
107	499	4124
108	502	4107
109	505	4089
110	508	4073
111	511	4056
112	515	4044
113	518	4032
114	522	4017
115	525	4006
116	529	3998
117	533	3986
118	536	3971
119	539	3957
120	542	3944
121	546	3933
122	549	3920
123	552	3906
124	556	3894
125	559	3882
126	562	3867
127	566	3856
128	569	3842
129	572	3834
130	575	3820
131	579	3807
132	582	3796
133	585	3785
134	588	3773
135	592	3761
136	595	3752
137	599	3743
138	602	3733
139	606	3724
140	609	3714
141	613	3708
142	617	3697
143	620	3688
144	623	3678
145	627	3670
146	630	3660
147	633	3648
148	636	3637
149	639	3625
150	642	3614
151	646	3604
152	649	3593
153	652	3582
154	655	3572
155	658	3563
156	662	3555
157	665	3544
158	668	3534
159	671	3526
160	675	3517
161	678	3508
162	681	3498
163	684	3488
164	687	3478
165	690	3470
166	694	3461
167	697	3453
168	700	3445
169	704	3437
170	707	3428
171	710	3418
172	713	3410
173	716	3401
174	719	3393
175	723	3385
176	726	3376
177	729	3368
178	732	3361
179	735	3352
180	739	3345
181	742	3336
182	745	3327
183	748	3319
184	751	3310
185	754	3303
186	758	3296
187	761	3290
188	765	3284
189	768	3277
190	772	3270
191	775	3265
192	779	3258
193	782	3250
194	785	3242
195	788	3235
196	791	3227
197	794	3220
198	798	3213
199	802	3209
200	805	3202
201	808	3195
202	812	3188
203	815	3183
204	819	3176
205	822	3168
206	824	3160
207	828	3153
208	831	3145
209	834	3140
210	837	3132
211	840	3125
212	843	3118
213	847	3111
214	850	3105
215	854	3100
216	857	3095
217	860	3087
218	864	3081
219	868	3080
220	872	3075
221	875	3068
222	879	3062
223	882	3056
224	885	3049
225	888	3042
226	891	3036
227	895	3031
228	898	3024
229	901	3017
230	904	3012
231	908	3007
232	911	3001
233	915	2995
234	918	2988
235	921	2982
236	924	2975
237	927	2969
238	931	2965
239	934	2960
240	938	2954
